Phase2.CSV,,,,,,,,,,,,,,,,
"['filip2', 'hayden2', 'roy1']",9.104802163,"[1, 2, 1, 1, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,1,"[15.472739853263715, 3.976539589442808, 7.865127047156757]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",9.104802163,"[1, 2, 1, 1, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.3, 0]]",1,6,1,"[15.472739853263715, 3.976539589442808, 7.865127047156757]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",9.104802163,"[1, 2, 1, 1, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.35, 0]]",1,6,1,"[15.472739853263715, 3.976539589442808, 7.865127047156757]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",11.04544419,"[1, 2, 1, 1, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.06, 0], [0.2, 0]]",1,6,1,"[17.7302782955363, 3.976539589442808, 11.429514692028748]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",11.04544419,"[1, 2, 1, 1, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.06, 0], [0.25, 0]]",1,6,1,"[17.7302782955363, 3.976539589442808, 11.429514692028748]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",11.04544419,"[1, 2, 1, 1, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.06, 0], [0.3, 0]]",1,6,1,"[17.7302782955363, 3.976539589442808, 11.429514692028748]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",11.04544419,"[1, 2, 1, 1, 0]","[[0, 0], [1.01, 0], [1.025, 0], [1.06, 0], [0.35, 0]]",1,6,1,"[17.7302782955363, 3.976539589442808, 11.429514692028748]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",10.28484198,"[1, 2, 1, 1, 0]","[[0, 0], [1.01, 0], [1.03, 0], [1.04, 0], [0.2, 0]]",1,6,1,"[16.615736775036474, 3.976539589442808, 10.26224957947831]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",10.28484198,"[1, 2, 1, 1, 0]","[[0, 0], [1.01, 0], [1.03, 0], [1.04, 0], [0.25, 0]]",1,6,1,"[16.615736775036474, 3.976539589442808, 10.26224957947831]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",10.28484198,"[1, 2, 1, 1, 0]","[[0, 0], [1.01, 0], [1.03, 0], [1.04, 0], [0.3, 0]]",1,6,1,"[16.615736775036474, 3.976539589442808, 10.26224957947831]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",10.28484198,"[1, 2, 1, 1, 0]","[[0, 0], [1.01, 0], [1.03, 0], [1.04, 0], [0.35, 0]]",1,6,1,"[16.615736775036474, 3.976539589442808, 10.26224957947831]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",10.84567937,"[1, 2, 1, 1, 0]","[[0, 0], [1.01, 0], [1.03, 0], [1.05, 0], [0.2, 0]]",1,6,1,"[17.259340373152718, 3.976539589442808, 11.301158152725694]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",10.84567937,"[1, 2, 1, 1, 0]","[[0, 0], [1.01, 0], [1.03, 0], [1.05, 0], [0.25, 0]]",1,6,1,"[17.259340373152718, 3.976539589442808, 11.301158152725694]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",10.84567937,"[1, 2, 1, 1, 0]","[[0, 0], [1.01, 0], [1.03, 0], [1.05, 0], [0.3, 0]]",1,6,1,"[17.259340373152718, 3.976539589442808, 11.301158152725694]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",10.84567937,"[1, 2, 1, 1, 0]","[[0, 0], [1.01, 0], [1.03, 0], [1.05, 0], [0.35, 0]]",1,6,1,"[17.259340373152718, 3.976539589442808, 11.301158152725694]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",11.54274537,"[1, 2, 1, 1, 0]","[[0, 0], [1.01, 0], [1.03, 0], [1.06, 0], [0.2, 0]]",1,6,1,"[18.058882450879118, 3.976539589442808, 12.592814055593172]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",11.54274537,"[1, 2, 1, 1, 0]","[[0, 0], [1.01, 0], [1.03, 0], [1.06, 0], [0.25, 0]]",1,6,1,"[18.058882450879118, 3.976539589442808, 12.592814055593172]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",11.54274537,"[1, 2, 1, 1, 0]","[[0, 0], [1.01, 0], [1.03, 0], [1.06, 0], [0.3, 0]]",1,6,1,"[18.058882450879118, 3.976539589442808, 12.592814055593172]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",11.54274537,"[1, 2, 1, 1, 0]","[[0, 0], [1.01, 0], [1.03, 0], [1.06, 0], [0.35, 0]]",1,6,1,"[18.058882450879118, 3.976539589442808, 12.592814055593172]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.85701196,"[1, 2, 1, 1, 0]","[[0, 0], [1.02, 0], [1.02, 0], [1.04, 0], [0.2, 0]]",1,6,1,"[8.155525841872231, 28.311687332919497, 5.103822690403661]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.85701196,"[1, 2, 1, 1, 0]","[[0, 0], [1.02, 0], [1.02, 0], [1.04, 0], [0.25, 0]]",1,6,1,"[8.155525841872231, 28.311687332919497, 5.103822690403661]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.85701196,"[1, 2, 1, 1, 0]","[[0, 0], [1.02, 0], [1.02, 0], [1.04, 0], [0.3, 0]]",1,6,1,"[8.155525841872231, 28.311687332919497, 5.103822690403661]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.85701196,"[1, 2, 1, 1, 0]","[[0, 0], [1.02, 0], [1.02, 0], [1.04, 0], [0.35, 0]]",1,6,1,"[8.155525841872231, 28.311687332919497, 5.103822690403661]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",15.55177896,"[1, 2, 1, 1, 0]","[[0, 0], [1.02, 0], [1.02, 0], [1.05, 0], [0.2, 0]]",1,6,1,"[9.571445057896609, 29.769607218865303, 7.3142846083029385]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",15.55177896,"[1, 2, 1, 1, 0]","[[0, 0], [1.02, 0], [1.02, 0], [1.05, 0], [0.25, 0]]",1,6,1,"[9.571445057896609, 29.769607218865303, 7.3142846083029385]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",15.55177896,"[1, 2, 1, 1, 0]","[[0, 0], [1.02, 0], [1.02, 0], [1.05, 0], [0.3, 0]]",1,6,1,"[9.571445057896609, 29.769607218865303, 7.3142846083029385]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",15.55177896,"[1, 2, 1, 1, 0]","[[0, 0], [1.02, 0], [1.02, 0], [1.05, 0], [0.35, 0]]",1,6,1,"[9.571445057896609, 29.769607218865303, 7.3142846083029385]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",18.59111672,"[1, 2, 1, 1, 0]","[[0, 0], [1.02, 0], [1.02, 0], [1.06, 0], [0.2, 0]]",1,6,1,"[10.841229878356788, 36.793948314021456, 8.138171965346691]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",18.59111672,"[1, 2, 1, 1, 0]","[[0, 0], [1.02, 0], [1.02, 0], [1.06, 0], [0.25, 0]]",1,6,1,"[10.841229878356788, 36.793948314021456, 8.138171965346691]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",18.59111672,"[1, 2, 1, 1, 0]","[[0, 0], [1.02, 0], [1.02, 0], [1.06, 0], [0.3, 0]]",1,6,1,"[10.841229878356788, 36.793948314021456, 8.138171965346691]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",18.59111672,"[1, 2, 1, 1, 0]","[[0, 0], [1.02, 0], [1.02, 0], [1.06, 0], [0.35, 0]]",1,6,1,"[10.841229878356788, 36.793948314021456, 8.138171965346691]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",15.58259836,"[1, 2, 1, 1, 0]","[[0, 0], [1.02, 0], [1.025, 0], [1.04, 0], [0.2, 0]]",1,6,1,"[8.38156253970816, 33.42811549058756, 4.938117034884061]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",15.58259836,"[1, 2, 1, 1, 0]","[[0, 0], [1.02, 0], [1.025, 0], [1.04, 0], [0.25, 0]]",1,6,1,"[8.38156253970816, 33.42811549058756, 4.938117034884061]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",15.58259836,"[1, 2, 1, 1, 0]","[[0, 0], [1.02, 0], [1.025, 0], [1.04, 0], [0.3, 0]]",1,6,1,"[8.38156253970816, 33.42811549058756, 4.938117034884061]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",15.58259836,"[1, 2, 1, 1, 0]","[[0, 0], [1.02, 0], [1.025, 0], [1.04, 0], [0.35, 0]]",1,6,1,"[8.38156253970816, 33.42811549058756, 4.938117034884061]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",15.2418732,"[1, 2, 1, 1, 0]","[[0, 0], [1.02, 0], [1.025, 0], [1.05, 0], [0.2, 0]]",1,6,1,"[9.030074238407236, 29.769607218865303, 6.925938143209673]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",15.2418732,"[1, 2, 1, 1, 0]","[[0, 0], [1.02, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,1,"[9.030074238407236, 29.769607218865303, 6.925938143209673]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",15.2418732,"[1, 2, 1, 1, 0]","[[0, 0], [1.02, 0], [1.025, 0], [1.05, 0], [0.3, 0]]",1,6,1,"[9.030074238407236, 29.769607218865303, 6.925938143209673]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",15.2418732,"[1, 2, 1, 1, 0]","[[0, 0], [1.02, 0], [1.025, 0], [1.05, 0], [0.35, 0]]",1,6,1,"[9.030074238407236, 29.769607218865303, 6.925938143209673]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",18.57633779,"[1, 2, 1, 1, 0]","[[0, 0], [1.02, 0], [1.025, 0], [1.06, 0], [0.2, 0]]",1,6,1,"[11.036409679108113, 36.793948314021456, 7.898655373834461]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",18.57633779,"[1, 2, 1, 1, 0]","[[0, 0], [1.02, 0], [1.025, 0], [1.06, 0], [0.25, 0]]",1,6,1,"[11.036409679108113, 36.793948314021456, 7.898655373834461]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",18.57633779,"[1, 2, 1, 1, 0]","[[0, 0], [1.02, 0], [1.025, 0], [1.06, 0], [0.3, 0]]",1,6,1,"[11.036409679108113, 36.793948314021456, 7.898655373834461]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",18.57633779,"[1, 2, 1, 1, 0]","[[0, 0], [1.02, 0], [1.025, 0], [1.06, 0], [0.35, 0]]",1,6,1,"[11.036409679108113, 36.793948314021456, 7.898655373834461]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",16.95618727,"[1, 2, 1, 1, 0]","[[0, 0], [1.02, 0], [1.03, 0], [1.04, 0], [0.2, 0]]",1,6,1,"[9.384543009090796, 34.65306790763183, 6.8309508963487735]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",16.95618727,"[1, 2, 1, 1, 0]","[[0, 0], [1.02, 0], [1.03, 0], [1.04, 0], [0.25, 0]]",1,6,1,"[9.384543009090796, 34.65306790763183, 6.8309508963487735]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",16.95618727,"[1, 2, 1, 1, 0]","[[0, 0], [1.02, 0], [1.03, 0], [1.04, 0], [0.3, 0]]",1,6,1,"[9.384543009090796, 34.65306790763183, 6.8309508963487735]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",16.95618727,"[1, 2, 1, 1, 0]","[[0, 0], [1.02, 0], [1.03, 0], [1.04, 0], [0.35, 0]]",1,6,1,"[9.384543009090796, 34.65306790763183, 6.8309508963487735]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",15.70080888,"[1, 2, 1, 1, 0]","[[0, 0], [1.02, 0], [1.03, 0], [1.05, 0], [0.2, 0]]",1,6,1,"[9.555276471858448, 29.769607218865303, 7.777542934932683]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",15.70080888,"[1, 2, 1, 1, 0]","[[0, 0], [1.02, 0], [1.03, 0], [1.05, 0], [0.25, 0]]",1,6,1,"[9.555276471858448, 29.769607218865303, 7.777542934932683]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",15.70080888,"[1, 2, 1, 1, 0]","[[0, 0], [1.02, 0], [1.03, 0], [1.05, 0], [0.3, 0]]",1,6,1,"[9.555276471858448, 29.769607218865303, 7.777542934932683]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",15.70080888,"[1, 2, 1, 1, 0]","[[0, 0], [1.02, 0], [1.03, 0], [1.05, 0], [0.35, 0]]",1,6,1,"[9.555276471858448, 29.769607218865303, 7.777542934932683]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",18.15149317,"[1, 2, 1, 1, 0]","[[0, 0], [1.02, 0], [1.03, 0], [1.06, 0], [0.2, 0]]",1,6,1,"[11.782407135894179, 36.793948314021456, 5.878124068518368]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",18.15149317,"[1, 2, 1, 1, 0]","[[0, 0], [1.02, 0], [1.03, 0], [1.06, 0], [0.25, 0]]",1,6,1,"[11.782407135894179, 36.793948314021456, 5.878124068518368]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",18.15149317,"[1, 2, 1, 1, 0]","[[0, 0], [1.02, 0], [1.03, 0], [1.06, 0], [0.3, 0]]",1,6,1,"[11.782407135894179, 36.793948314021456, 5.878124068518368]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",18.15149317,"[1, 2, 1, 1, 0]","[[0, 0], [1.02, 0], [1.03, 0], [1.06, 0], [0.35, 0]]",1,6,1,"[11.782407135894179, 36.793948314021456, 5.878124068518368]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",11.87219236,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.02, 0], [1.04, 0], [0.2, 0]]",1,6,1,"[19.914370655651084, 3.976539589442808, 11.725666820062125]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",11.66309192,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.02, 0], [1.04, 0], [0.25, 0]]",1,6,1,"[19.287069354116266, 3.976539589442808, 11.725666820062125]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",11.84628888,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.02, 0], [1.04, 0], [0.3, 0]]",1,6,1,"[19.70836905572655, 3.976539589442808, 11.85395798178794]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",12.17761363,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.02, 0], [1.04, 0], [0.35, 0]]",1,6,1,"[20.70234333116103, 3.976539589442808, 11.85395798178794]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",12.81037721,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.02, 0], [1.05, 0], [0.2, 0]]",1,6,1,"[22.60063404758374, 3.976539589442808, 11.85395798178794]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",12.81037721,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.02, 0], [1.05, 0], [0.25, 0]]",1,6,1,"[22.60063404758374, 3.976539589442808, 11.85395798178794]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",12.81037721,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.02, 0], [1.05, 0], [0.3, 0]]",1,6,1,"[22.60063404758374, 3.976539589442808, 11.85395798178794]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",12.84352528,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.02, 0], [1.05, 0], [0.35, 0]]",1,6,1,"[22.700078275311743, 3.976539589442808, 11.85395798178794]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",12.55301847,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.02, 0], [1.06, 0], [0.2, 0]]",1,6,1,"[19.379137687571188, 3.976539589442808, 14.303378134416732]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",12.55301847,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.02, 0], [1.06, 0], [0.25, 0]]",1,6,1,"[19.379137687571188, 3.976539589442808, 14.303378134416732]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",12.55301847,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.02, 0], [1.06, 0], [0.3, 0]]",1,6,1,"[19.379137687571188, 3.976539589442808, 14.303378134416732]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",12.55301847,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.02, 0], [1.06, 0], [0.35, 0]]",1,6,1,"[19.379137687571188, 3.976539589442808, 14.303378134416732]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",12.18196628,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.025, 0], [1.04, 0], [0.2, 0]]",1,6,1,"[19.556397367761228, 3.976539589442808, 13.012961872573358]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",12.18196628,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.025, 0], [1.04, 0], [0.25, 0]]",1,6,1,"[19.556397367761228, 3.976539589442808, 13.012961872573358]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",12.82259634,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.025, 0], [1.04, 0], [0.3, 0]]",1,6,1,"[21.47828755689814, 3.976539589442808, 13.012961872573358]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.66730901,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.025, 0], [1.04, 0], [0.35, 0]]",1,6,1,"[24.01242555334626, 3.976539589442808, 13.012961872573358]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",12.82259634,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.025, 0], [1.05, 0], [0.2, 0]]",1,6,1,"[21.47828755689814, 3.976539589442808, 13.012961872573358]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",12.82259634,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,1,"[21.47828755689814, 3.976539589442808, 13.012961872573358]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",12.82259634,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.025, 0], [1.05, 0], [0.3, 0]]",1,6,1,"[21.47828755689814, 3.976539589442808, 13.012961872573358]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.66730901,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.025, 0], [1.05, 0], [0.35, 0]]",1,6,1,"[24.01242555334626, 3.976539589442808, 13.012961872573358]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",14.73006636,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.025, 0], [1.06, 0], [0.2, 0]]",1,6,1,"[23.547044737110273, 3.976539589442808, 16.666614752356892]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",14.73006636,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.025, 0], [1.06, 0], [0.25, 0]]",1,6,1,"[23.547044737110273, 3.976539589442808, 16.666614752356892]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",14.73006636,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.025, 0], [1.06, 0], [0.3, 0]]",1,6,1,"[23.547044737110273, 3.976539589442808, 16.666614752356892]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",14.73006636,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.025, 0], [1.06, 0], [0.35, 0]]",1,6,1,"[23.547044737110273, 3.976539589442808, 16.666614752356892]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.49116258,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.03, 0], [1.04, 0], [0.2, 0]]",1,6,1,"[15.696232525512107, 3.976539589442808, 20.80071561463139]",,,,,,,,,
"['filip2', 'hayden2', 'roy1']",13.49116258,"[1, 2, 1, 1, 2]","[[0, 0], [1.0, 0], [1.03, 0], [1.04, 0], [0.25, 0]]",1,6,1,"[15.696232525512107, 3.976539589442808, 20.80071561463139]",,,,,,,,,
